feature,dtype,missing_pct,is_constant,is_near_constant,is_leakage,target_corr,redundant_with,decision,reason
FLOORSMAX_MEDI,float64,49.76,False,False,False,-0.0435,FLOORSMAX_AVG (corr=0.997); FLOORSMAX_MODE (corr=0.988),keep,"missing=49.8%; target_corr=-0.043; redundant_with=[FLOORSMAX_AVG (corr=0.997); FLOORSMAX_MODE (corr=0.988)] (kept, monitor for linear models)"
FLOORSMAX_MODE,float64,49.76,False,False,False,-0.0427,FLOORSMAX_AVG (corr=0.986),keep,"missing=49.8%; target_corr=-0.043; redundant_with=[FLOORSMAX_AVG (corr=0.986)] (kept, monitor for linear models)"
FLOORSMIN_AVG,float64,67.85,False,False,False,-0.0337,,keep,missing=67.8%; target_corr=-0.034
FLOORSMIN_MEDI,float64,67.85,False,False,False,-0.0335,FLOORSMIN_AVG (corr=0.997); FLOORSMIN_MODE (corr=0.989),keep,"missing=67.8%; target_corr=-0.034; redundant_with=[FLOORSMIN_AVG (corr=0.997); FLOORSMIN_MODE (corr=0.989)] (kept, monitor for linear models)"
FLOORSMIN_MODE,float64,67.85,False,False,False,-0.0327,FLOORSMIN_AVG (corr=0.986),keep,"missing=67.8%; target_corr=-0.033; redundant_with=[FLOORSMIN_AVG (corr=0.986)] (kept, monitor for linear models)"
FONDKAPREMONT_MODE,object,68.39,False,False,False,,,keep,missing=68.4%
HAS_BUREAU_HISTORY,int64,0.0,False,False,False,,,keep,missing=0.0%
HAS_PREVIOUS_APPLICATION,int64,0.0,False,False,False,,,keep,missing=0.0%
HOUR_APPR_PROCESS_START,int64,0.0,False,False,False,-0.0259,,keep,missing=0.0%; target_corr=-0.026
HOUSETYPE_MODE,object,50.18,False,False,False,,,keep,missing=50.2%
LANDAREA_AVG,float64,59.38,False,False,False,-0.0087,,keep,missing=59.4%; target_corr=-0.009
LANDAREA_MEDI,float64,59.38,False,False,False,-0.0093,LANDAREA_AVG (corr=0.991); LANDAREA_MODE (corr=0.982),keep,"missing=59.4%; target_corr=-0.009; redundant_with=[LANDAREA_AVG (corr=0.991); LANDAREA_MODE (corr=0.982)] (kept, monitor for linear models)"
LANDAREA_MODE,float64,59.38,False,False,False,-0.0082,LANDAREA_AVG (corr=0.973),keep,"missing=59.4%; target_corr=-0.008; redundant_with=[LANDAREA_AVG (corr=0.973)] (kept, monitor for linear models)"
LIVE_CITY_NOT_WORK_CITY,int64,0.0,False,False,False,0.0333,,keep,missing=0.0%; target_corr=0.033
LIVE_REGION_NOT_WORK_REGION,int64,0.0,False,False,False,0.0027,,keep,missing=0.0%; target_corr=0.003
LIVINGAPARTMENTS_AVG,float64,68.35,False,False,False,-0.0246,,keep,missing=68.4%; target_corr=-0.025
LIVINGAPARTMENTS_MEDI,float64,68.35,False,False,False,-0.0241,LIVINGAPARTMENTS_AVG (corr=0.994); LIVINGAPARTMENTS_MODE (corr=0.975),keep,"missing=68.4%; target_corr=-0.024; redundant_with=[LIVINGAPARTMENTS_AVG (corr=0.994); LIVINGAPARTMENTS_MODE (corr=0.975)] (kept, monitor for linear models)"
LIVINGAPARTMENTS_MODE,float64,68.35,False,False,False,-0.0229,LIVINGAPARTMENTS_AVG (corr=0.969),keep,"missing=68.4%; target_corr=-0.023; redundant_with=[LIVINGAPARTMENTS_AVG (corr=0.969)] (kept, monitor for linear models)"
LIVINGAREA_AVG,float64,50.19,False,False,False,-0.0324,,keep,missing=50.2%; target_corr=-0.032
LIVINGAREA_MEDI,float64,50.19,False,False,False,-0.0323,LIVINGAREA_AVG (corr=0.995); LIVINGAREA_MODE (corr=0.975),keep,"missing=50.2%; target_corr=-0.032; redundant_with=[LIVINGAREA_AVG (corr=0.995); LIVINGAREA_MODE (corr=0.975)] (kept, monitor for linear models)"
LIVINGAREA_MODE,float64,50.19,False,False,False,-0.0303,LIVINGAREA_AVG (corr=0.972),keep,"missing=50.2%; target_corr=-0.030; redundant_with=[LIVINGAREA_AVG (corr=0.972)] (kept, monitor for linear models)"
NAME_CONTRACT_TYPE,object,0.0,False,False,False,,,keep,missing=0.0%
NAME_EDUCATION_TYPE,object,0.0,False,False,False,,,keep,missing=0.0%
NAME_FAMILY_STATUS,object,0.0,False,False,False,,,keep,missing=0.0%
NAME_HOUSING_TYPE,object,0.0,False,False,False,,,keep,missing=0.0%
NAME_INCOME_TYPE,object,0.0,False,False,False,,,keep,missing=0.0%
NAME_TYPE_SUITE,object,0.42,False,False,False,,,keep,missing=0.4%
NONLIVINGAPARTMENTS_AVG,float64,69.43,False,False,False,-0.0004,,keep,missing=69.4%; target_corr=-0.000
NONLIVINGAPARTMENTS_MEDI,float64,69.43,False,False,False,0.0,NONLIVINGAPARTMENTS_AVG (corr=0.989); NONLIVINGAPARTMENTS_MODE (corr=0.981),keep,"missing=69.4%; target_corr=0.000; redundant_with=[NONLIVINGAPARTMENTS_AVG (corr=0.989); NONLIVINGAPARTMENTS_MODE (corr=0.981)] (kept, monitor for linear models)"
NONLIVINGAPARTMENTS_MODE,float64,69.43,False,False,False,0.0013,NONLIVINGAPARTMENTS_AVG (corr=0.970),keep,"missing=69.4%; target_corr=0.001; redundant_with=[NONLIVINGAPARTMENTS_AVG (corr=0.970)] (kept, monitor for linear models)"
NONLIVINGAREA_AVG,float64,55.18,False,False,False,-0.0126,,keep,missing=55.2%; target_corr=-0.013
NONLIVINGAREA_MEDI,float64,55.18,False,False,False,-0.0123,NONLIVINGAREA_AVG (corr=0.991); NONLIVINGAREA_MODE (corr=0.976),keep,"missing=55.2%; target_corr=-0.012; redundant_with=[NONLIVINGAREA_AVG (corr=0.991); NONLIVINGAREA_MODE (corr=0.976)] (kept, monitor for linear models)"
NONLIVINGAREA_MODE,float64,55.18,False,False,False,-0.0118,NONLIVINGAREA_AVG (corr=0.967),keep,"missing=55.2%; target_corr=-0.012; redundant_with=[NONLIVINGAREA_AVG (corr=0.967)] (kept, monitor for linear models)"
OBS_30_CNT_SOCIAL_CIRCLE,float64,0.33,False,False,False,0.0108,,keep,missing=0.3%; target_corr=0.011
OBS_60_CNT_SOCIAL_CIRCLE,float64,0.33,False,False,False,0.0106,OBS_30_CNT_SOCIAL_CIRCLE (corr=0.999),keep,"missing=0.3%; target_corr=0.011; redundant_with=[OBS_30_CNT_SOCIAL_CIRCLE (corr=0.999)] (kept, monitor for linear models)"
OCCUPATION_TYPE,object,31.35,False,False,False,,,keep,missing=31.3%
ORGANIZATION_TYPE,object,0.0,False,False,False,,,keep,missing=0.0%
OWN_CAR_AGE,float64,65.99,False,False,False,0.0383,,keep,missing=66.0%; target_corr=0.038
PREV_AMT_ANNUITY_MAX,float64,5.49,False,False,False,-0.0302,,keep,missing=5.5%; target_corr=-0.030
PREV_AMT_ANNUITY_MEAN,float64,5.49,False,False,False,-0.0372,,keep,missing=5.5%; target_corr=-0.037
PREV_AMT_ANNUITY_MIN,float64,5.49,False,False,False,-0.0349,,keep,missing=5.5%; target_corr=-0.035
PREV_AMT_ANNUITY_STD,float64,26.21,False,False,False,-0.0229,,keep,missing=26.2%; target_corr=-0.023
PREV_AMT_ANNUITY_SUM,float64,5.35,False,False,False,-0.0065,,keep,missing=5.4%; target_corr=-0.006
PREV_AMT_APPLICATION_MAX,float64,5.35,False,False,False,-0.0136,,keep,missing=5.4%; target_corr=-0.014
PREV_AMT_APPLICATION_MEAN,float64,5.35,False,False,False,-0.0238,,keep,missing=5.4%; target_corr=-0.024
PREV_AMT_APPLICATION_MIN,float64,5.35,False,False,False,-0.0233,,keep,missing=5.4%; target_corr=-0.023
PREV_AMT_APPLICATION_STD,float64,22.43,False,False,False,-0.0148,PREV_AMT_APPLICATION_MAX (corr=0.951),keep,"missing=22.4%; target_corr=-0.015; redundant_with=[PREV_AMT_APPLICATION_MAX (corr=0.951)] (kept, monitor for linear models)"
PREV_AMT_APPLICATION_SUM,float64,5.35,False,False,False,0.0041,,keep,missing=5.4%; target_corr=0.004
PREV_AMT_CREDIT_MAX,float64,5.35,False,False,False,-0.0093,PREV_AMT_APPLICATION_MAX (corr=0.986),keep,"missing=5.4%; target_corr=-0.009; redundant_with=[PREV_AMT_APPLICATION_MAX (corr=0.986)] (kept, monitor for linear models)"
PREV_AMT_CREDIT_MEAN,float64,5.35,False,False,False,-0.0178,PREV_AMT_APPLICATION_MEAN (corr=0.976),keep,"missing=5.4%; target_corr=-0.018; redundant_with=[PREV_AMT_APPLICATION_MEAN (corr=0.976)] (kept, monitor for linear models)"
PREV_AMT_CREDIT_MIN,float64,5.35,False,False,False,-0.0216,PREV_AMT_APPLICATION_MIN (corr=0.961),keep,"missing=5.4%; target_corr=-0.022; redundant_with=[PREV_AMT_APPLICATION_MIN (corr=0.961)] (kept, monitor for linear models)"
PREV_AMT_CREDIT_STD,float64,22.43,False,False,False,-0.0105,PREV_AMT_APPLICATION_STD (corr=0.982); PREV_AMT_CREDIT_MAX (corr=0.952),keep,"missing=22.4%; target_corr=-0.010; redundant_with=[PREV_AMT_APPLICATION_STD (corr=0.982); PREV_AMT_CREDIT_MAX (corr=0.952)] (kept, monitor for linear models)"
PREV_AMT_CREDIT_SUM,float64,5.35,False,False,False,0.008,PREV_AMT_APPLICATION_SUM (corr=0.992),keep,"missing=5.4%; target_corr=0.008; redundant_with=[PREV_AMT_APPLICATION_SUM (corr=0.992)] (kept, monitor for linear models)"
PREV_AMT_DOWN_PAYMENT_MAX,float64,11.03,False,False,False,-0.0244,,keep,missing=11.0%; target_corr=-0.024
PREV_AMT_DOWN_PAYMENT_MEAN,float64,11.03,False,False,False,-0.0242,,keep,missing=11.0%; target_corr=-0.024
PREV_AMT_DOWN_PAYMENT_MIN,float64,11.03,False,False,False,-0.0168,,keep,missing=11.0%; target_corr=-0.017
PREV_AMT_DOWN_PAYMENT_STD,float64,46.22,False,False,False,-0.0158,,keep,missing=46.2%; target_corr=-0.016
PREV_AMT_DOWN_PAYMENT_SUM,float64,5.35,False,False,False,-0.0256,,keep,missing=5.4%; target_corr=-0.026
PREV_AMT_GOODS_PRICE_MAX,float64,5.67,False,False,False,-0.0139,PREV_AMT_APPLICATION_MAX (corr=1.000); PREV_AMT_CREDIT_MAX (corr=0.986); PREV_AMT_APPLICATION_STD (corr=0.951),keep,"missing=5.7%; target_corr=-0.014; redundant_with=[PREV_AMT_APPLICATION_MAX (corr=1.000); PREV_AMT_CREDIT_MAX (corr=0.986); PREV_AMT_APPLICATION_STD (corr=0.951)] (kept, monitor for linear models)"
PREV_AMT_GOODS_PRICE_MEAN,float64,5.67,False,False,False,-0.0182,,keep,missing=5.7%; target_corr=-0.018
PREV_AMT_GOODS_PRICE_MIN,float64,5.67,False,False,False,-0.0229,,keep,missing=5.7%; target_corr=-0.023
PREV_AMT_GOODS_PRICE_STD,float64,26.43,False,False,False,-0.0129,PREV_AMT_APPLICATION_STD (corr=0.980); PREV_AMT_CREDIT_STD (corr=0.966),keep,"missing=26.4%; target_corr=-0.013; redundant_with=[PREV_AMT_APPLICATION_STD (corr=0.980); PREV_AMT_CREDIT_STD (corr=0.966)] (kept, monitor for linear models)"
PREV_AMT_GOODS_PRICE_SUM,float64,5.35,False,False,False,0.0042,PREV_AMT_APPLICATION_SUM (corr=1.000); PREV_AMT_CREDIT_SUM (corr=0.992),keep,"missing=5.4%; target_corr=0.004; redundant_with=[PREV_AMT_APPLICATION_SUM (corr=1.000); PREV_AMT_CREDIT_SUM (corr=0.992)] (kept, monitor for linear models)"
PREV_CC_AMT_BALANCE_MAX_MAX,float64,74.66,False,False,False,0.0688,PREV_CC_AMT_BALANCE_MAX_MEAN (corr=1.000),keep,"missing=74.7%; target_corr=0.069; redundant_with=[PREV_CC_AMT_BALANCE_MAX_MEAN (corr=1.000)] (kept, monitor for linear models)"
PREV_CC_AMT_BALANCE_MAX_MEAN,float64,74.66,False,False,False,0.0686,,keep,missing=74.7%; target_corr=0.069
PREV_CC_AMT_BALANCE_MEAN_MAX,float64,74.66,False,False,False,0.0859,PREV_CC_AMT_BALANCE_MEAN_MEAN (corr=1.000),keep,"missing=74.7%; target_corr=0.086; redundant_with=[PREV_CC_AMT_BALANCE_MEAN_MEAN (corr=1.000)] (kept, monitor for linear models)"
PREV_CC_AMT_BALANCE_MEAN_MEAN,float64,74.66,False,False,False,0.0857,,keep,missing=74.7%; target_corr=0.086
PREV_CC_AMT_BALANCE_MIN_MAX,float64,74.66,False,False,False,0.0621,PREV_CC_AMT_BALANCE_MIN_MEAN (corr=0.999),keep,"missing=74.7%; target_corr=0.062; redundant_with=[PREV_CC_AMT_BALANCE_MIN_MEAN (corr=0.999)] (kept, monitor for linear models)"
PREV_CC_AMT_BALANCE_MIN_MEAN,float64,74.66,False,False,False,0.0621,,keep,missing=74.7%; target_corr=0.062
PREV_CC_AMT_BALANCE_STD_MAX,float64,74.86,False,False,False,0.0595,PREV_CC_AMT_BALANCE_STD_MEAN (corr=1.000),keep,"missing=74.9%; target_corr=0.060; redundant_with=[PREV_CC_AMT_BALANCE_STD_MEAN (corr=1.000)] (kept, monitor for linear models)"
PREV_CC_AMT_BALANCE_STD_MEAN,float64,74.86,False,False,False,0.0594,,keep,missing=74.9%; target_corr=0.059
PREV_CC_AMT_BALANCE_SUM_MAX,float64,74.66,False,False,False,0.0252,PREV_CC_AMT_BALANCE_SUM_MEAN (corr=1.000),keep,"missing=74.7%; target_corr=0.025; redundant_with=[PREV_CC_AMT_BALANCE_SUM_MEAN (corr=1.000)] (kept, monitor for linear models)"
PREV_CC_AMT_BALANCE_SUM_MEAN,float64,74.66,False,False,False,0.0252,,keep,missing=74.7%; target_corr=0.025
PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MAX_MAX,float64,74.66,False,False,False,-0.0224,PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MAX_MEAN (corr=0.999),keep,"missing=74.7%; target_corr=-0.022; redundant_with=[PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MAX_MEAN (corr=0.999)] (kept, monitor for linear models)"
PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MAX_MEAN,float64,74.66,False,False,False,-0.0226,,keep,missing=74.7%; target_corr=-0.023
PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN_MAX,float64,74.66,False,False,False,-0.02,PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN_MEAN (corr=0.999),keep,"missing=74.7%; target_corr=-0.020; redundant_with=[PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN_MEAN (corr=0.999)] (kept, monitor for linear models)"
PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN_MEAN,float64,74.66,False,False,False,-0.02,,keep,missing=74.7%; target_corr=-0.020
PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MIN_MAX,float64,74.66,False,False,False,-0.0099,PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MIN_MEAN (corr=0.999),keep,"missing=74.7%; target_corr=-0.010; redundant_with=[PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MIN_MEAN (corr=0.999)] (kept, monitor for linear models)"
PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_MIN_MEAN,float64,74.66,False,False,False,-0.0099,,keep,missing=74.7%; target_corr=-0.010
PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_STD_MAX,float64,74.86,False,False,False,-0.0158,PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_STD_MEAN (corr=0.999),keep,"missing=74.9%; target_corr=-0.016; redundant_with=[PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_STD_MEAN (corr=0.999)] (kept, monitor for linear models)"
PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_STD_MEAN,float64,74.86,False,False,False,-0.016,,keep,missing=74.9%; target_corr=-0.016
PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_SUM_MAX,float64,74.66,False,False,False,-0.0443,PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_SUM_MEAN (corr=0.999),keep,"missing=74.7%; target_corr=-0.044; redundant_with=[PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_SUM_MEAN (corr=0.999)] (kept, monitor for linear models)"
PREV_CC_AMT_CREDIT_LIMIT_ACTUAL_SUM_MEAN,float64,74.66,False,False,False,-0.0444,,keep,missing=74.7%; target_corr=-0.044
PREV_CC_AMT_DRAWINGS_ATM_CURRENT_MAX_MAX,float64,82.79,False,False,False,0.0164,PREV_CC_AMT_DRAWINGS_ATM_CURRENT_MAX_MEAN (corr=1.000),keep,"missing=82.8%; target_corr=0.016; redundant_with=[PREV_CC_AMT_DRAWINGS_ATM_CURRENT_MAX_MEAN (corr=1.000)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_ATM_CURRENT_MAX_MEAN,float64,82.79,False,False,False,0.0164,,keep,missing=82.8%; target_corr=0.016
PREV_CC_AMT_DRAWINGS_ATM_CURRENT_MEAN_MAX,float64,82.79,False,False,False,0.0553,PREV_CC_AMT_DRAWINGS_ATM_CURRENT_MEAN_MEAN (corr=1.000),keep,"missing=82.8%; target_corr=0.055; redundant_with=[PREV_CC_AMT_DRAWINGS_ATM_CURRENT_MEAN_MEAN (corr=1.000)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_ATM_CURRENT_MEAN_MEAN,float64,82.79,False,False,False,0.0555,,keep,missing=82.8%; target_corr=0.055
PREV_CC_AMT_DRAWINGS_ATM_CURRENT_MIN_MAX,float64,82.79,False,False,False,0.0179,PREV_CC_AMT_DRAWINGS_ATM_CURRENT_MIN_MEAN (corr=0.999),keep,"missing=82.8%; target_corr=0.018; redundant_with=[PREV_CC_AMT_DRAWINGS_ATM_CURRENT_MIN_MEAN (corr=0.999)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_ATM_CURRENT_MIN_MEAN,float64,82.79,False,False,False,0.018,,keep,missing=82.8%; target_corr=0.018
PREV_CC_AMT_DRAWINGS_ATM_CURRENT_STD_MAX,float64,82.93,False,False,False,0.0444,PREV_CC_AMT_DRAWINGS_ATM_CURRENT_STD_MEAN (corr=1.000),keep,"missing=82.9%; target_corr=0.044; redundant_with=[PREV_CC_AMT_DRAWINGS_ATM_CURRENT_STD_MEAN (corr=1.000)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_ATM_CURRENT_STD_MEAN,float64,82.93,False,False,False,0.0445,,keep,missing=82.9%; target_corr=0.044
PREV_CC_AMT_DRAWINGS_ATM_CURRENT_SUM_MAX,float64,74.66,False,False,False,0.0414,PREV_CC_AMT_DRAWINGS_ATM_CURRENT_SUM_MEAN (corr=1.000),keep,"missing=74.7%; target_corr=0.041; redundant_with=[PREV_CC_AMT_DRAWINGS_ATM_CURRENT_SUM_MEAN (corr=1.000)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_ATM_CURRENT_SUM_MEAN,float64,74.66,False,False,False,0.0415,,keep,missing=74.7%; target_corr=0.041
PREV_CC_AMT_DRAWINGS_CURRENT_MAX_MAX,float64,74.66,False,False,False,0.0524,PREV_CC_AMT_DRAWINGS_CURRENT_MAX_MEAN (corr=0.999),keep,"missing=74.7%; target_corr=0.052; redundant_with=[PREV_CC_AMT_DRAWINGS_CURRENT_MAX_MEAN (corr=0.999)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_CURRENT_MAX_MEAN,float64,74.66,False,False,False,0.0523,,keep,missing=74.7%; target_corr=0.052
PREV_CC_AMT_DRAWINGS_CURRENT_MEAN_MAX,float64,74.66,False,False,False,0.0557,PREV_CC_AMT_DRAWINGS_CURRENT_MEAN_MEAN (corr=0.998),keep,"missing=74.7%; target_corr=0.056; redundant_with=[PREV_CC_AMT_DRAWINGS_CURRENT_MEAN_MEAN (corr=0.998)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_CURRENT_MEAN_MEAN,float64,74.66,False,False,False,0.0561,,keep,missing=74.7%; target_corr=0.056
PREV_CC_AMT_DRAWINGS_CURRENT_MIN_MAX,float64,74.66,False,False,False,0.0119,PREV_CC_AMT_DRAWINGS_CURRENT_MIN_MEAN (corr=0.992),keep,"missing=74.7%; target_corr=0.012; redundant_with=[PREV_CC_AMT_DRAWINGS_CURRENT_MIN_MEAN (corr=0.992)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_CURRENT_MIN_MEAN,float64,74.66,False,False,False,0.0126,,keep,missing=74.7%; target_corr=0.013
PREV_CC_AMT_DRAWINGS_CURRENT_STD_MAX,float64,74.86,False,False,False,0.0684,PREV_CC_AMT_DRAWINGS_CURRENT_STD_MEAN (corr=0.999),keep,"missing=74.9%; target_corr=0.068; redundant_with=[PREV_CC_AMT_DRAWINGS_CURRENT_STD_MEAN (corr=0.999)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_CURRENT_STD_MEAN,float64,74.86,False,False,False,0.0684,,keep,missing=74.9%; target_corr=0.068
PREV_CC_AMT_DRAWINGS_CURRENT_SUM_MAX,float64,74.66,False,False,False,0.0241,PREV_CC_AMT_DRAWINGS_CURRENT_SUM_MEAN (corr=0.999),keep,"missing=74.7%; target_corr=0.024; redundant_with=[PREV_CC_AMT_DRAWINGS_CURRENT_SUM_MEAN (corr=0.999)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_CURRENT_SUM_MEAN,float64,74.66,False,False,False,0.0242,,keep,missing=74.7%; target_corr=0.024
PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_MAX_MAX,float64,82.79,False,False,False,0.0004,PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_MAX_MEAN (corr=1.000),keep,"missing=82.8%; target_corr=0.000; redundant_with=[PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_MAX_MEAN (corr=1.000)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_MAX_MEAN,float64,82.79,False,False,False,0.0002,,keep,missing=82.8%; target_corr=0.000
PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN_MAX,float64,82.79,False,False,False,0.005,PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN_MEAN (corr=1.000),keep,"missing=82.8%; target_corr=0.005; redundant_with=[PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN_MEAN (corr=1.000)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_MEAN_MEAN,float64,82.79,False,False,False,0.0049,,keep,missing=82.8%; target_corr=0.005
PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_STD_MAX,float64,82.93,False,False,False,0.0045,PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_STD_MEAN (corr=1.000),keep,"missing=82.9%; target_corr=0.004; redundant_with=[PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_STD_MEAN (corr=1.000)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_STD_MEAN,float64,82.93,False,False,False,0.0044,,keep,missing=82.9%; target_corr=0.004
PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_SUM_MAX,float64,74.66,False,False,False,0.0068,PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_SUM_MEAN (corr=1.000),keep,"missing=74.7%; target_corr=0.007; redundant_with=[PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_SUM_MEAN (corr=1.000)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_OTHER_CURRENT_SUM_MEAN,float64,74.66,False,False,False,0.0066,,keep,missing=74.7%; target_corr=0.007
PREV_CC_AMT_DRAWINGS_POS_CURRENT_MAX_MAX,float64,82.79,False,False,False,-0.0206,PREV_CC_AMT_DRAWINGS_POS_CURRENT_MAX_MEAN (corr=1.000),keep,"missing=82.8%; target_corr=-0.021; redundant_with=[PREV_CC_AMT_DRAWINGS_POS_CURRENT_MAX_MEAN (corr=1.000)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_POS_CURRENT_MAX_MEAN,float64,82.79,False,False,False,-0.0208,,keep,missing=82.8%; target_corr=-0.021
PREV_CC_AMT_DRAWINGS_POS_CURRENT_MEAN_MAX,float64,82.79,False,False,False,-0.0138,PREV_CC_AMT_DRAWINGS_POS_CURRENT_MEAN_MEAN (corr=0.999),keep,"missing=82.8%; target_corr=-0.014; redundant_with=[PREV_CC_AMT_DRAWINGS_POS_CURRENT_MEAN_MEAN (corr=0.999)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_POS_CURRENT_MEAN_MEAN,float64,82.79,False,False,False,-0.0139,,keep,missing=82.8%; target_corr=-0.014
PREV_CC_AMT_DRAWINGS_POS_CURRENT_MIN_MAX,float64,82.79,False,False,False,-0.0063,PREV_CC_AMT_DRAWINGS_POS_CURRENT_MIN_MEAN (corr=0.997),keep,"missing=82.8%; target_corr=-0.006; redundant_with=[PREV_CC_AMT_DRAWINGS_POS_CURRENT_MIN_MEAN (corr=0.997)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_POS_CURRENT_MIN_MEAN,float64,82.79,False,False,False,-0.0061,,keep,missing=82.8%; target_corr=-0.006
PREV_CC_AMT_DRAWINGS_POS_CURRENT_STD_MAX,float64,82.93,False,False,False,-0.0104,PREV_CC_AMT_DRAWINGS_POS_CURRENT_STD_MEAN (corr=0.999); PREV_CC_AMT_DRAWINGS_POS_CURRENT_MAX_MAX (corr=0.954); PREV_CC_AMT_DRAWINGS_POS_CURRENT_MAX_MEAN (corr=0.954),keep,"missing=82.9%; target_corr=-0.010; redundant_with=[PREV_CC_AMT_DRAWINGS_POS_CURRENT_STD_MEAN (corr=0.999); PREV_CC_AMT_DRAWINGS_POS_CURRENT_MAX_MAX (corr=0.954); PREV_CC_AMT_DRAWINGS_POS_CURRENT_MAX_MEAN (corr=0.954)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_POS_CURRENT_STD_MEAN,float64,82.93,False,False,False,-0.0106,PREV_CC_AMT_DRAWINGS_POS_CURRENT_MAX_MEAN (corr=0.954); PREV_CC_AMT_DRAWINGS_POS_CURRENT_MAX_MAX (corr=0.954),keep,"missing=82.9%; target_corr=-0.011; redundant_with=[PREV_CC_AMT_DRAWINGS_POS_CURRENT_MAX_MEAN (corr=0.954); PREV_CC_AMT_DRAWINGS_POS_CURRENT_MAX_MAX (corr=0.954)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_POS_CURRENT_SUM_MAX,float64,74.66,False,False,False,-0.0052,PREV_CC_AMT_DRAWINGS_POS_CURRENT_SUM_MEAN (corr=0.999),keep,"missing=74.7%; target_corr=-0.005; redundant_with=[PREV_CC_AMT_DRAWINGS_POS_CURRENT_SUM_MEAN (corr=0.999)] (kept, monitor for linear models)"
PREV_CC_AMT_DRAWINGS_POS_CURRENT_SUM_MEAN,float64,74.66,False,False,False,-0.0052,,keep,missing=74.7%; target_corr=-0.005
PREV_CC_AMT_INST_MIN_REGULARITY_MAX_MAX,float64,74.66,False,False,False,0.0648,PREV_CC_AMT_INST_MIN_REGULARITY_MAX_MEAN (corr=1.000); PREV_CC_AMT_BALANCE_MAX_MAX (corr=0.984); PREV_CC_AMT_BALANCE_MAX_MEAN (corr=0.984),keep,"missing=74.7%; target_corr=0.065; redundant_with=[PREV_CC_AMT_INST_MIN_REGULARITY_MAX_MEAN (corr=1.000); PREV_CC_AMT_BALANCE_MAX_MAX (corr=0.984); PREV_CC_AMT_BALANCE_MAX_MEAN (corr=0.984)] (kept, monitor for linear models)"
